sentenceF1,corpusF1,averageLL,perplexity
51.67507025,49.1798268,-112.2196808,186.3797913
54.02414941,50.84693917,-112.5374146,189.1590118
57.82478433,54.86739211,-111.5571976,180.7156372
53.45672229,50.2344239,-111.6949997,181.8794098
46.83893293,45.00921747,-112.3324814,187.3617554
52.60572505,50.11989796,-112.1391449,185.6818542
56.46241692,53.06722206,-111.4265747,179.6192322
50.45824413,48.11129655,-111.6096497,181.1576996
58.02547518,54.70498084,-111.9082031,183.694931
53.53780977,50.74657342,-112.0620575,185.0162659
